Disease Name,Symptoms,Medicine Name,Dosage Instructions
Diabetes,"Frequent urination, Increased thirst",Isoniazid,1 tablet every 12 hours
Typhoid,"Fever, Cough, Fatigue",Azithromycin,Take with water after meals
Chickenpox,"Facial pain, Runny nose, Headache",Doxycycline,Apply cream twice a day
COVID-19,"Abdominal pain, High fever, Loss of appetite",Artemether,1 capsule every morning with food
Chickenpox,"Wheezing, Shortness of breath",Metformin,Apply cream twice a day
Mumps,"Headache, Dizziness, Blurred vision",Zinc Sulfate,Take with water after meals
Common Cold,"Persistent cough, Weight loss, Night sweats",Azithromycin,Take before sleep
Bronchitis,"Chills, Sweating, Muscle pain",Ventolin,Take 1 tablet every 6 hours
Diabetes,"Headache, Dizziness, Blurred vision",Rifampin,Take with water after meals
Diabetes,"Abdominal pain, High fever, Loss of appetite",Amoxicillin,Inject once daily
Tuberculosis,"Nausea, Sensitivity to light",Aspirin,Inject once daily
Bronchitis,"Skin rash, High fever, Bleeding gums",Isoniazid,Take before sleep
Influenza,"Headache, Dizziness, Blurred vision",Methotrexate,Take with water after meals
Tuberculosis,"Swollen salivary glands, Fever",Vitamin C,Inject once daily
Arthritis,"Skin rash, High fever, Bleeding gums",Aspirin,Take 2 tablets daily after meals
Arthritis,"Red spots on skin, Fever",Isoniazid,1 tablet every 12 hours
Pneumonia,"Joint pain, Swelling",Artemether,Take 2 tablets daily after meals
Chickenpox,"Headache, Dizziness, Blurred vision",Doxycycline,Take before sleep
Bronchitis,"Cough, Mucus production",Paracetamol,Take with water after meals
Food Poisoning,"Fever, Cough, Fatigue",Ventolin,Take 2 tablets daily after meals
Hypertension,"Sneezing, Sore throat",Doxycycline,1 tablet every 12 hours
Bronchitis,"Wheezing, Shortness of breath",Zinc Sulfate,Take with water after meals
Measles,"Nausea, Vomiting, Diarrhea",Ibuprofen,Use inhaler as needed
Typhoid,"Swollen salivary glands, Fever",Ibuprofen,Take with water after meals
Asthma,"Fever, Cough, Fatigue",Aspirin,Apply cream twice a day
Bronchitis,"Headache, Dizziness, Blurred vision",Prednisone,Take 5ml syrup before bedtime
Influenza,"Jaundice, Dark urine, Fatigue",Zinc Sulfate,Take 2 tablets daily after meals
Measles,"Nausea, Sensitivity to light",Vitamin C,Take with water after meals
Malaria,"Skin rash, High fever, Bleeding gums",Cetirizine,Use inhaler as needed
Dengue,"Nausea, Vomiting, Diarrhea",Ventolin,Apply cream twice a day
Diabetes,"Sneezing, Sore throat",Ventolin,Take 1 tablet every 6 hours
Diabetes,"Skin rash, Fever",Azithromycin,1 capsule every morning with food
Mumps,"Abdominal pain, High fever, Loss of appetite",Vitamin C,Use inhaler as needed
Bronchitis,"Chills, Sweating, Muscle pain",Aspirin,Take before sleep
Hepatitis B,"Chills, Sweating, Muscle pain",Loratadine,Take 1 tablet every 6 hours
Measles,"Frequent urination, Increased thirst",Aspirin,Take 1 tablet every 6 hours
Sinusitis,"Frequent urination, Increased thirst",Ibuprofen,Take 5ml syrup before bedtime
Dengue,"Swollen salivary glands, Fever",Rifampin,1 tablet every 12 hours
Influenza,"Swollen salivary glands, Fever",Loratadine,Take with water after meals
Influenza,"Shortness of breath, Chest pain",Artemether,Inject once daily
Mumps,"Abdominal pain, High fever, Loss of appetite",Amoxicillin,1 tablet every 12 hours
Common Cold,"Abdominal pain, High fever, Loss of appetite",Prednisone,1 tablet every 12 hours
Mumps,"Nausea, Sensitivity to light",Paracetamol,Take 5ml syrup before bedtime
Common Cold,"Abdominal pain, High fever, Loss of appetite",Losartan,Use inhaler as needed
Bronchitis,"Chills, Sweating, Muscle pain",Vitamin C,Use inhaler as needed
Migraine,"Wheezing, Shortness of breath",Amoxicillin,Take 2 tablets daily after meals
Influenza,"Nausea, Vomiting, Diarrhea",Omeprazole,Use inhaler as needed
Dengue,"Fever, Cough, Fatigue",Doxycycline,Take before sleep
Arthritis,"Shortness of breath, Chest pain",Artemether,Inject once daily
Food Poisoning,"Abdominal pain, High fever, Loss of appetite",Losartan,Use inhaler as needed
Diabetes,"Nausea, Vomiting, Diarrhea",Losartan,Take before sleep
Hepatitis C,"Cough, Mucus production",Vitamin C,Take 1 tablet every 6 hours
Pneumonia,"Shortness of breath, Chest pain",Chloroquine,1 tablet every 12 hours
Arthritis,"Frequent urination, Increased thirst",Cetirizine,Take 5ml syrup before bedtime
Common Cold,"Swollen salivary glands, Fever",Cetirizine,Take 1 tablet every 6 hours
Measles,"Skin rash, High fever, Bleeding gums",Artemether,Apply cream twice a day
Hepatitis C,"Swollen salivary glands, Fever",Rifampin,1 capsule every morning with food
Hepatitis B,"Chills, Sweating, Muscle pain",Zinc Sulfate,Inject once daily
Chickenpox,"Skin rash, Fever",Amoxicillin,Take before sleep
Asthma,"Wheezing, Shortness of breath",Metformin,Take 1 tablet every 6 hours
Diabetes,"Cough, Mucus production",Azithromycin,Take 1 tablet every 6 hours
Malaria,"Sneezing, Sore throat",Loratadine,Inject once daily
Mumps,"Shortness of breath, Chest pain",Loratadine,Take before sleep
Influenza,"Cough, Mucus production",Hydroxychloroquine,Take 5ml syrup before bedtime
Dengue,"Skin rash, High fever, Bleeding gums",Amoxicillin,1 tablet every 12 hours
Hypertension,"Facial pain, Runny nose, Headache",Chloroquine,Take 5ml syrup before bedtime
Hypertension,"Joint pain, Swelling",Isoniazid,Inject once daily
Mumps,"Nausea, Vomiting, Diarrhea",Metformin,Take with water after meals
Pneumonia,"Wheezing, Shortness of breath",Zinc Sulfate,Inject once daily
Hypertension,"Facial pain, Runny nose, Headache",Cetirizine,Take with water after meals
Influenza,"Sneezing, Sore throat",Azithromycin,1 capsule every morning with food
Mumps,"Jaundice, Dark urine, Fatigue",Losartan,Inject once daily
Influenza,"Jaundice, Dark urine, Fatigue",Aspirin,Take 5ml syrup before bedtime
Malaria,"Chills, Sweating, Muscle pain",Vitamin C,Inject once daily
Typhoid,"Swollen salivary glands, Fever",Chloroquine,Take 2 tablets daily after meals
Mumps,"Cough, Mucus production",Isoniazid,1 capsule every morning with food
Mumps,"Nausea, Vomiting, Diarrhea",Vitamin C,Take with water after meals
Pneumonia,"Sneezing, Sore throat",Doxycycline,Take 1 tablet every 6 hours
Food Poisoning,"Abdominal pain, High fever, Loss of appetite",Doxycycline,Inject once daily
Asthma,"Cough, Mucus production",Vitamin C,1 tablet every 12 hours
Bronchitis,"Abdominal pain, High fever, Loss of appetite",Amoxicillin,1 capsule every morning with food
Arthritis,"Skin rash, High fever, Bleeding gums",Artemether,1 tablet every 12 hours
Hepatitis C,"Fever, Loss of taste/smell",Metformin,1 tablet every 12 hours
Typhoid,"Joint pain, Swelling",Loratadine,Take 5ml syrup before bedtime
Hepatitis B,"Frequent urination, Increased thirst",Ibuprofen,Take 1 tablet every 6 hours
Food Poisoning,"Jaundice, Dark urine, Fatigue",Chloroquine,1 capsule every morning with food
Hepatitis C,"Cough, Mucus production",Losartan,Take 1 tablet every 6 hours
Hepatitis C,"Skin rash, Fever",Artemether,Take 2 tablets daily after meals
Bronchitis,"Joint pain, Swelling",Azithromycin,Use inhaler as needed
Diabetes,"Cough, Mucus production",Ibuprofen,Use inhaler as needed
Tuberculosis,"Abdominal pain, High fever, Loss of appetite",Rifampin,1 capsule every morning with food
Common Cold,"Joint pain, Swelling",Ibuprofen,1 tablet every 12 hours
Measles,"Abdominal pain, High fever, Loss of appetite",Ibuprofen,Take 5ml syrup before bedtime
Arthritis,"Wheezing, Shortness of breath",Isoniazid,Take with water after meals
Sinusitis,"Frequent urination, Increased thirst",Hydroxychloroquine,Inject once daily
Arthritis,"Frequent urination, Increased thirst",Doxycycline,Take 5ml syrup before bedtime
Migraine,"Red spots on skin, Fever",Ibuprofen,Take 5ml syrup before bedtime
Dengue,"Fever, Cough, Fatigue",Amoxicillin,Apply cream twice a day
Asthma,"Abdominal pain, High fever, Loss of appetite",Amoxicillin,Inject once daily
Chickenpox,"Facial pain, Runny nose, Headache",Omeprazole,Take with water after meals
Tuberculosis,"Nausea, Sensitivity to light",Loratadine,Use inhaler as needed
Malaria,"Swollen salivary glands, Fever",Aspirin,1 capsule every morning with food
Mumps,"Fever, Cough, Fatigue",Zinc Sulfate,Take 5ml syrup before bedtime
Dengue,"Nausea, Vomiting, Diarrhea",Losartan,Take 2 tablets daily after meals
Migraine,"Sneezing, Sore throat",Aspirin,Apply cream twice a day
Dengue,"Persistent cough, Weight loss, Night sweats",Azithromycin,Apply cream twice a day
Food Poisoning,"Nausea, Sensitivity to light",Zinc Sulfate,1 tablet every 12 hours
Migraine,"Jaundice, Dark urine, Fatigue",Cetirizine,Take 1 tablet every 6 hours
Bronchitis,"Skin rash, Fever",Vitamin C,Take before sleep
Mumps,"Swollen salivary glands, Fever",Artemether,Apply cream twice a day
Bronchitis,"Jaundice, Dark urine, Fatigue",Rifampin,Take 5ml syrup before bedtime
Hepatitis B,"Sneezing, Sore throat",Chloroquine,Take 2 tablets daily after meals
Chickenpox,"Persistent cough, Weight loss, Night sweats",Loratadine,Apply cream twice a day
Hypertension,"Abdominal pain, High fever, Loss of appetite",Azithromycin,Take 5ml syrup before bedtime
Common Cold,"Persistent cough, Weight loss, Night sweats",Aspirin,Apply cream twice a day
Malaria,"Shortness of breath, Chest pain",Amoxicillin,1 capsule every morning with food
Bronchitis,"Facial pain, Runny nose, Headache",Hydroxychloroquine,Take 5ml syrup before bedtime
Tuberculosis,"Nausea, Vomiting, Diarrhea",Loratadine,1 capsule every morning with food
Tuberculosis,"Chills, Sweating, Muscle pain",Rifampin,Take 5ml syrup before bedtime
Asthma,"Chills, Sweating, Muscle pain",Cetirizine,Take with water after meals
Measles,"Wheezing, Shortness of breath",Aspirin,Take 5ml syrup before bedtime
Arthritis,"Facial pain, Runny nose, Headache",Hydroxychloroquine,Take 1 tablet every 6 hours
Measles,"Fever, Loss of taste/smell",Cetirizine,Apply cream twice a day
Food Poisoning,"Joint pain, Swelling",Hydroxychloroquine,1 tablet every 12 hours
Chickenpox,"Nausea, Vomiting, Diarrhea",Cetirizine,1 capsule every morning with food
Measles,"Joint pain, Swelling",Ventolin,Apply cream twice a day
Common Cold,"Chills, Sweating, Muscle pain",Chloroquine,1 tablet every 12 hours
Tuberculosis,"Wheezing, Shortness of breath",Vitamin C,Take 5ml syrup before bedtime
Dengue,"Joint pain, Swelling",Methotrexate,Use inhaler as needed
Malaria,"Skin rash, Fever",Losartan,Take before sleep
Food Poisoning,"Headache, Dizziness, Blurred vision",Azithromycin,Take with water after meals
Malaria,"Swollen salivary glands, Fever",Vitamin C,Inject once daily
Pneumonia,"Frequent urination, Increased thirst",Rifampin,1 tablet every 12 hours
Migraine,"Abdominal pain, High fever, Loss of appetite",Losartan,Take with water after meals
Migraine,"Fever, Cough, Fatigue",Loratadine,Take 2 tablets daily after meals
Typhoid,"Shortness of breath, Chest pain",Rifampin,Take 5ml syrup before bedtime
Hepatitis B,"Skin rash, High fever, Bleeding gums",Metformin,Use inhaler as needed
Migraine,"Joint pain, Swelling",Omeprazole,Take 1 tablet every 6 hours
Arthritis,"Red spots on skin, Fever",Prednisone,Take 1 tablet every 6 hours
Migraine,"Frequent urination, Increased thirst",Hydroxychloroquine,Take before sleep
Common Cold,"Chills, Sweating, Muscle pain",Prednisone,1 tablet every 12 hours
Measles,"Skin rash, High fever, Bleeding gums",Vitamin C,Take 5ml syrup before bedtime
Mumps,"Swollen salivary glands, Fever",Prednisone,Take with water after meals
Arthritis,"Sneezing, Sore throat",Metformin,1 capsule every morning with food
Migraine,"Persistent cough, Weight loss, Night sweats",Aspirin,Apply cream twice a day
Hepatitis C,"Nausea, Sensitivity to light",Chloroquine,Take 5ml syrup before bedtime
COVID-19,"Wheezing, Shortness of breath",Ventolin,Take 1 tablet every 6 hours
Common Cold,"Jaundice, Dark urine, Fatigue",Rifampin,Use inhaler as needed
Typhoid,"Frequent urination, Increased thirst",Artemether,1 tablet every 12 hours
Common Cold,"Swollen salivary glands, Fever",Chloroquine,Inject once daily
Dengue,"Chills, Sweating, Muscle pain",Aspirin,Use inhaler as needed
Hepatitis B,"Cough, Mucus production",Artemether,Take 5ml syrup before bedtime
Hypertension,"Fever, Cough, Fatigue",Chloroquine,Inject once daily
Diabetes,"Sneezing, Sore throat",Artemether,Take with water after meals
Diabetes,"Fever, Cough, Fatigue",Isoniazid,Take 2 tablets daily after meals
Measles,"Fever, Loss of taste/smell",Zinc Sulfate,Take 5ml syrup before bedtime
Bronchitis,"Fever, Loss of taste/smell",Chloroquine,Take 5ml syrup before bedtime
Mumps,"Facial pain, Runny nose, Headache",Omeprazole,Take 5ml syrup before bedtime
Common Cold,"Cough, Mucus production",Hydroxychloroquine,Take with water after meals
Typhoid,"Nausea, Sensitivity to light",Ventolin,1 tablet every 12 hours
Sinusitis,"Shortness of breath, Chest pain",Omeprazole,Take with water after meals
Bronchitis,"Red spots on skin, Fever",Rifampin,Inject once daily
Asthma,"Facial pain, Runny nose, Headache",Losartan,Take 2 tablets daily after meals
Sinusitis,"Skin rash, Fever",Ventolin,Take 1 tablet every 6 hours
Mumps,"Swollen salivary glands, Fever",Loratadine,Take before sleep
Measles,"Cough, Mucus production",Losartan,Inject once daily
Mumps,"Wheezing, Shortness of breath",Loratadine,1 tablet every 12 hours
COVID-19,"Persistent cough, Weight loss, Night sweats",Vitamin C,Take 1 tablet every 6 hours
Migraine,"Fever, Cough, Fatigue",Chloroquine,Take before sleep
Hypertension,"Fever, Cough, Fatigue",Prednisone,Inject once daily
Typhoid,"Swollen salivary glands, Fever",Prednisone,Take with water after meals
Chickenpox,"Swollen salivary glands, Fever",Omeprazole,1 tablet every 12 hours
Measles,"Skin rash, Fever",Methotrexate,Take before sleep
Migraine,"Nausea, Sensitivity to light",Omeprazole,Apply cream twice a day
COVID-19,"Joint pain, Swelling",Zinc Sulfate,Take with water after meals
COVID-19,"Wheezing, Shortness of breath",Vitamin C,1 capsule every morning with food
Typhoid,"Nausea, Vomiting, Diarrhea",Methotrexate,1 capsule every morning with food
Diabetes,"Cough, Mucus production",Paracetamol,Take 2 tablets daily after meals
Malaria,"Chills, Sweating, Muscle pain",Methotrexate,Take 1 tablet every 6 hours
Common Cold,"Skin rash, Fever",Vitamin C,Take 1 tablet every 6 hours
Influenza,"Headache, Dizziness, Blurred vision",Isoniazid,1 tablet every 12 hours
Food Poisoning,"Facial pain, Runny nose, Headache",Losartan,Inject once daily
Tuberculosis,"Cough, Mucus production",Rifampin,Take with water after meals
Common Cold,"Joint pain, Swelling",Vitamin C,Inject once daily
Asthma,"Abdominal pain, High fever, Loss of appetite",Aspirin,Take with water after meals
Common Cold,"Shortness of breath, Chest pain",Prednisone,Apply cream twice a day
Mumps,"Swollen salivary glands, Fever",Doxycycline,Take before sleep
Food Poisoning,"Nausea, Vomiting, Diarrhea",Doxycycline,Use inhaler as needed
Hypertension,"Skin rash, High fever, Bleeding gums",Prednisone,1 capsule every morning with food
Malaria,"Cough, Mucus production",Loratadine,1 capsule every morning with food
Hepatitis C,"Persistent cough, Weight loss, Night sweats",Losartan,Take before sleep
Sinusitis,"Jaundice, Dark urine, Fatigue",Omeprazole,Inject once daily
Hepatitis C,"Persistent cough, Weight loss, Night sweats",Chloroquine,Take with water after meals
Tuberculosis,"Cough, Mucus production",Loratadine,Inject once daily
Asthma,"Chills, Sweating, Muscle pain",Metformin,Inject once daily
Malaria,"Swollen salivary glands, Fever",Azithromycin,Take with water after meals
Common Cold,"Nausea, Sensitivity to light",Zinc Sulfate,Take 2 tablets daily after meals
Arthritis,"Frequent urination, Increased thirst",Losartan,1 tablet every 12 hours
Influenza,"Chills, Sweating, Muscle pain",Ventolin,Take 5ml syrup before bedtime
Malaria,"Shortness of breath, Chest pain",Cetirizine,Take 5ml syrup before bedtime
Migraine,"Sneezing, Sore throat",Zinc Sulfate,Take with water after meals
Hepatitis B,"Facial pain, Runny nose, Headache",Amoxicillin,1 tablet every 12 hours
Diabetes,"Abdominal pain, High fever, Loss of appetite",Ventolin,Use inhaler as needed
Common Cold,"Chills, Sweating, Muscle pain",Loratadine,Take 2 tablets daily after meals
Mumps,"Persistent cough, Weight loss, Night sweats",Ventolin,Take 2 tablets daily after meals
Diabetes,"Frequent urination, Increased thirst",Aspirin,Inject once daily
Asthma,"Shortness of breath, Chest pain",Artemether,Take before sleep
Arthritis,"Nausea, Vomiting, Diarrhea",Losartan,1 capsule every morning with food
Malaria,"Jaundice, Dark urine, Fatigue",Paracetamol,Take before sleep
Tuberculosis,"Fever, Cough, Fatigue",Rifampin,Take 5ml syrup before bedtime
Migraine,"Frequent urination, Increased thirst",Paracetamol,Take 2 tablets daily after meals
Typhoid,"Swollen salivary glands, Fever",Losartan,Apply cream twice a day
COVID-19,"Skin rash, Fever",Aspirin,Take 2 tablets daily after meals
Malaria,"Chills, Sweating, Muscle pain",Aspirin,Apply cream twice a day
Common Cold,"Nausea, Vomiting, Diarrhea",Ibuprofen,Take 2 tablets daily after meals
Chickenpox,"Skin rash, High fever, Bleeding gums",Artemether,Take with water after meals
COVID-19,"Persistent cough, Weight loss, Night sweats",Methotrexate,Take 5ml syrup before bedtime
Asthma,"Joint pain, Swelling",Azithromycin,Take 5ml syrup before bedtime
Malaria,"Shortness of breath, Chest pain",Aspirin,Take 5ml syrup before bedtime
Typhoid,"Fever, Cough, Fatigue",Paracetamol,Take 2 tablets daily after meals
Influenza,"Skin rash, Fever",Metformin,Take with water after meals
Measles,"Abdominal pain, High fever, Loss of appetite",Losartan,Use inhaler as needed
Food Poisoning,"Joint pain, Swelling",Cetirizine,Take 2 tablets daily after meals
Hypertension,"Chills, Sweating, Muscle pain",Ventolin,Use inhaler as needed
Common Cold,"Fever, Cough, Fatigue",Cetirizine,1 capsule every morning with food
Hepatitis B,"Skin rash, Fever",Cetirizine,Take 2 tablets daily after meals
Tuberculosis,"Frequent urination, Increased thirst",Azithromycin,Take 5ml syrup before bedtime
Measles,"Persistent cough, Weight loss, Night sweats",Doxycycline,Take 1 tablet every 6 hours
Bronchitis,"Frequent urination, Increased thirst",Cetirizine,Apply cream twice a day
Influenza,"Fever, Loss of taste/smell",Amoxicillin,Take 2 tablets daily after meals
Mumps,"Skin rash, Fever",Doxycycline,Apply cream twice a day
Migraine,"Fever, Loss of taste/smell",Methotrexate,Apply cream twice a day
Chickenpox,"Skin rash, Fever",Amoxicillin,Take with water after meals
Influenza,"Abdominal pain, High fever, Loss of appetite",Losartan,Apply cream twice a day
Hepatitis C,"Red spots on skin, Fever",Isoniazid,Take before sleep
Dengue,"Headache, Dizziness, Blurred vision",Metformin,Apply cream twice a day
Chickenpox,"Joint pain, Swelling",Loratadine,1 tablet every 12 hours
Mumps,"Facial pain, Runny nose, Headache",Azithromycin,1 tablet every 12 hours
Malaria,"Skin rash, High fever, Bleeding gums",Vitamin C,Apply cream twice a day
Bronchitis,"Jaundice, Dark urine, Fatigue",Paracetamol,Take 2 tablets daily after meals
Pneumonia,"Red spots on skin, Fever",Losartan,1 capsule every morning with food
Mumps,"Joint pain, Swelling",Doxycycline,Inject once daily
Asthma,"Sneezing, Sore throat",Aspirin,Apply cream twice a day
Bronchitis,"Swollen salivary glands, Fever",Ventolin,Take with water after meals
Malaria,"Nausea, Vomiting, Diarrhea",Chloroquine,Take with water after meals
Tuberculosis,"Sneezing, Sore throat",Ventolin,Inject once daily
Pneumonia,"Swollen salivary glands, Fever",Zinc Sulfate,Apply cream twice a day
Sinusitis,"Jaundice, Dark urine, Fatigue",Cetirizine,Take with water after meals
Diabetes,"Skin rash, Fever",Zinc Sulfate,Use inhaler as needed
Food Poisoning,"Skin rash, High fever, Bleeding gums",Cetirizine,Take 2 tablets daily after meals
Food Poisoning,"Fever, Loss of taste/smell",Rifampin,Take 5ml syrup before bedtime
Measles,"Shortness of breath, Chest pain",Losartan,Take before sleep
Typhoid,"Jaundice, Dark urine, Fatigue",Loratadine,1 tablet every 12 hours
Pneumonia,"Swollen salivary glands, Fever",Artemether,Inject once daily
COVID-19,"Headache, Dizziness, Blurred vision",Cetirizine,Take 5ml syrup before bedtime
Mumps,"Facial pain, Runny nose, Headache",Loratadine,Take 2 tablets daily after meals
Food Poisoning,"Swollen salivary glands, Fever",Losartan,Take with water after meals
Influenza,"Skin rash, High fever, Bleeding gums",Loratadine,Apply cream twice a day
Typhoid,"Nausea, Sensitivity to light",Vitamin C,Take 1 tablet every 6 hours
Dengue,"Joint pain, Swelling",Methotrexate,Use inhaler as needed
Chickenpox,"Swollen salivary glands, Fever",Paracetamol,Inject once daily
Mumps,"Abdominal pain, High fever, Loss of appetite",Chloroquine,1 capsule every morning with food
Hepatitis C,"Fever, Cough, Fatigue",Isoniazid,Take with water after meals
Measles,"Red spots on skin, Fever",Paracetamol,Take before sleep
Dengue,"Headache, Dizziness, Blurred vision",Methotrexate,Take 1 tablet every 6 hours
Hepatitis B,"Fever, Cough, Fatigue",Prednisone,Take 2 tablets daily after meals
Diabetes,"Red spots on skin, Fever",Metformin,Take with water after meals
COVID-19,"Abdominal pain, High fever, Loss of appetite",Loratadine,Apply cream twice a day
Food Poisoning,"Skin rash, Fever",Paracetamol,Apply cream twice a day
Diabetes,"Shortness of breath, Chest pain",Aspirin,Inject once daily
Diabetes,"Nausea, Sensitivity to light",Losartan,Inject once daily
Food Poisoning,"Sneezing, Sore throat",Ibuprofen,Take before sleep
Pneumonia,"Chills, Sweating, Muscle pain",Isoniazid,Take before sleep
Sinusitis,"Joint pain, Swelling",Doxycycline,1 tablet every 12 hours
Sinusitis,"Facial pain, Runny nose, Headache",Azithromycin,Use inhaler as needed
Food Poisoning,"Facial pain, Runny nose, Headache",Amoxicillin,1 capsule every morning with food
Sinusitis,"Red spots on skin, Fever",Ventolin,1 tablet every 12 hours
Tuberculosis,"Fever, Loss of taste/smell",Vitamin C,Take 1 tablet every 6 hours
COVID-19,"Skin rash, High fever, Bleeding gums",Losartan,Take 5ml syrup before bedtime
Measles,"Cough, Mucus production",Losartan,Take 1 tablet every 6 hours
Common Cold,"Wheezing, Shortness of breath",Chloroquine,Use inhaler as needed
Asthma,"Fever, Cough, Fatigue",Artemether,Take 1 tablet every 6 hours
Hypertension,"Skin rash, Fever",Isoniazid,Take 1 tablet every 6 hours
Hepatitis B,"Chills, Sweating, Muscle pain",Paracetamol,Apply cream twice a day
Hypertension,"Headache, Dizziness, Blurred vision",Loratadine,Take with water after meals
Hepatitis C,"Chills, Sweating, Muscle pain",Loratadine,Inject once daily
Asthma,"Wheezing, Shortness of breath",Vitamin C,Take with water after meals
Hepatitis B,"Nausea, Sensitivity to light",Chloroquine,Take 1 tablet every 6 hours
Asthma,"Swollen salivary glands, Fever",Vitamin C,Take 2 tablets daily after meals
Hypertension,"Chills, Sweating, Muscle pain",Zinc Sulfate,Take before sleep
Migraine,"Fever, Cough, Fatigue",Amoxicillin,1 capsule every morning with food
COVID-19,"Sneezing, Sore throat",Zinc Sulfate,1 tablet every 12 hours
Measles,"Shortness of breath, Chest pain",Prednisone,Take 5ml syrup before bedtime
Influenza,"Fever, Cough, Fatigue",Azithromycin,Take before sleep
Bronchitis,"Jaundice, Dark urine, Fatigue",Rifampin,Take 5ml syrup before bedtime
Hepatitis C,"Abdominal pain, High fever, Loss of appetite",Rifampin,Take with water after meals
Malaria,"Shortness of breath, Chest pain",Cetirizine,Take with water after meals
Mumps,"Chills, Sweating, Muscle pain",Losartan,Apply cream twice a day
Chickenpox,"Nausea, Vomiting, Diarrhea",Amoxicillin,Take with water after meals
Measles,"Joint pain, Swelling",Hydroxychloroquine,Use inhaler as needed
Hepatitis C,"Nausea, Vomiting, Diarrhea",Isoniazid,1 capsule every morning with food
Common Cold,"Swollen salivary glands, Fever",Hydroxychloroquine,Take before sleep
Bronchitis,"Swollen salivary glands, Fever",Ventolin,Take with water after meals
Hypertension,"Fever, Loss of taste/smell",Cetirizine,Take 2 tablets daily after meals
Typhoid,"Red spots on skin, Fever",Methotrexate,1 capsule every morning with food
Food Poisoning,"Facial pain, Runny nose, Headache",Ibuprofen,Apply cream twice a day
Hypertension,"Shortness of breath, Chest pain",Omeprazole,Inject once daily
Influenza,"Nausea, Sensitivity to light",Chloroquine,1 capsule every morning with food
Chickenpox,"Joint pain, Swelling",Isoniazid,1 capsule every morning with food
Common Cold,"Joint pain, Swelling",Losartan,1 tablet every 12 hours
Sinusitis,"Joint pain, Swelling",Amoxicillin,Take 2 tablets daily after meals
Asthma,"Persistent cough, Weight loss, Night sweats",Omeprazole,1 tablet every 12 hours
Malaria,"Nausea, Sensitivity to light",Rifampin,Use inhaler as needed
Chickenpox,"Swollen salivary glands, Fever",Hydroxychloroquine,Use inhaler as needed
Food Poisoning,"Facial pain, Runny nose, Headache",Doxycycline,Inject once daily
Mumps,"Skin rash, Fever",Prednisone,Take 2 tablets daily after meals
COVID-19,"Nausea, Vomiting, Diarrhea",Metformin,Inject once daily
Influenza,"Nausea, Sensitivity to light",Isoniazid,Inject once daily
Mumps,"Sneezing, Sore throat",Metformin,Take 2 tablets daily after meals
Arthritis,"Frequent urination, Increased thirst",Ibuprofen,Use inhaler as needed
Sinusitis,"Skin rash, Fever",Aspirin,Use inhaler as needed
Hypertension,"Fever, Loss of taste/smell",Isoniazid,Take with water after meals
Hepatitis C,"Cough, Mucus production",Omeprazole,Take before sleep
Influenza,"Skin rash, High fever, Bleeding gums",Artemether,1 capsule every morning with food
Influenza,"Skin rash, Fever",Artemether,Apply cream twice a day
Tuberculosis,"Facial pain, Runny nose, Headache",Aspirin,Take 5ml syrup before bedtime
Migraine,"Sneezing, Sore throat",Metformin,Inject once daily
Tuberculosis,"Joint pain, Swelling",Metformin,Take with water after meals
Malaria,"Fever, Cough, Fatigue",Ibuprofen,Take 2 tablets daily after meals
Diabetes,"Headache, Dizziness, Blurred vision",Doxycycline,Take with water after meals
Pneumonia,"Jaundice, Dark urine, Fatigue",Isoniazid,Take 2 tablets daily after meals
Sinusitis,"Fever, Cough, Fatigue",Ibuprofen,Take before sleep
Influenza,"Shortness of breath, Chest pain",Artemether,1 capsule every morning with food
Malaria,"Abdominal pain, High fever, Loss of appetite",Methotrexate,Take with water after meals
Chickenpox,"Sneezing, Sore throat",Artemether,1 tablet every 12 hours
Dengue,"Fever, Cough, Fatigue",Zinc Sulfate,Use inhaler as needed
COVID-19,"Nausea, Sensitivity to light",Ventolin,Apply cream twice a day
Hepatitis C,"Sneezing, Sore throat",Methotrexate,1 tablet every 12 hours
Influenza,"Frequent urination, Increased thirst",Isoniazid,Take with water after meals
Hepatitis B,"Cough, Mucus production",Chloroquine,Take 5ml syrup before bedtime
Diabetes,"Headache, Dizziness, Blurred vision",Ventolin,Inject once daily
Hepatitis B,"Joint pain, Swelling",Losartan,1 capsule every morning with food
Malaria,"Facial pain, Runny nose, Headache",Ibuprofen,Inject once daily
Malaria,"Swollen salivary glands, Fever",Methotrexate,Take with water after meals
Arthritis,"Skin rash, Fever",Zinc Sulfate,1 capsule every morning with food
Asthma,"Jaundice, Dark urine, Fatigue",Cetirizine,1 capsule every morning with food
Hepatitis C,"Jaundice, Dark urine, Fatigue",Ventolin,Inject once daily
Asthma,"Facial pain, Runny nose, Headache",Omeprazole,Apply cream twice a day
Hepatitis B,"Abdominal pain, High fever, Loss of appetite",Azithromycin,Use inhaler as needed
Asthma,"Joint pain, Swelling",Losartan,Apply cream twice a day
COVID-19,"Frequent urination, Increased thirst",Ventolin,Take 1 tablet every 6 hours
Influenza,"Abdominal pain, High fever, Loss of appetite",Doxycycline,Take with water after meals
Arthritis,"Facial pain, Runny nose, Headache",Aspirin,Apply cream twice a day
Influenza,"Nausea, Sensitivity to light",Azithromycin,Take with water after meals
Sinusitis,"Red spots on skin, Fever",Doxycycline,Take 2 tablets daily after meals
